Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,62.97,63.48,62.75,63.21,388200,63.21
2012-12-21,63.19,63.51,62.00,63.15,7096000,63.15
2012-12-20,63.08,64.50,62.64,63.49,1860100,63.49
2012-12-19,63.49,63.50,62.76,62.81,1406100,62.81
2012-12-18,62.43,64.21,61.99,63.61,1691200,63.61
2012-12-17,61.25,62.44,61.05,62.21,2096600,62.21
2012-12-14,60.00,61.41,59.99,60.82,1607000,60.82
2012-12-13,61.45,61.73,60.19,60.26,1076900,60.26
2012-12-12,61.82,62.18,61.09,61.49,1070600,61.49
2012-12-11,60.69,61.55,60.59,61.51,1485600,61.51
2012-12-10,61.06,61.06,60.40,60.52,1453100,60.52
2012-12-07,62.02,62.39,60.85,61.09,1619000,61.09
2012-12-06,61.55,61.97,61.10,61.84,1150400,61.84
2012-12-05,60.52,63.20,59.86,61.74,2239400,61.74
2012-12-04,60.07,60.82,60.04,60.51,1619600,60.51
2012-12-03,60.50,60.80,59.90,59.95,1131100,59.95
2012-11-30,59.82,60.78,59.55,60.41,1852300,60.41
2012-11-29,59.02,59.74,58.94,59.56,1228200,59.56
2012-11-28,57.53,59.05,57.16,58.97,1064000,58.97
2012-11-27,57.74,58.43,57.63,57.70,915200,57.70
2012-11-26,57.83,58.20,57.40,57.88,1081600,57.88
2012-11-23,57.61,58.23,57.42,58.20,451600,58.20
2012-11-21,57.51,57.82,57.01,57.38,756200,57.38
2012-11-20,56.74,57.72,56.59,57.51,1164800,57.51
2012-11-19,55.83,56.90,55.42,56.87,1446000,56.87
2012-11-16,55.25,55.75,54.89,55.18,1598300,55.18
2012-11-15,55.29,55.80,55.12,55.28,1198600,55.28
2012-11-14,56.84,57.06,55.10,55.21,1198000,55.21
2012-11-13,55.86,57.36,55.75,56.77,998500,56.77
2012-11-12,56.51,56.65,55.72,56.07,1140900,56.07
2012-11-09,55.42,56.97,55.33,56.45,1742400,56.45
2012-11-08,56.66,56.94,55.51,55.61,2105800,55.61
2012-11-07,57.10,57.24,56.00,56.79,2280300,56.79
2012-11-06,58.22,58.24,56.25,57.46,4715000,57.46
2012-11-05,59.89,60.25,58.84,59.45,1442700,59.45
2012-11-02,61.41,61.61,59.84,59.88,1535800,59.88
2012-11-01,59.60,61.33,59.31,61.26,2001200,61.26
2012-10-31,58.79,59.11,58.19,59.02,1127300,59.02
2012-10-26,58.50,58.93,57.93,58.19,1058000,58.19
2012-10-25,59.56,59.92,58.56,58.76,800300,58.76
2012-10-24,59.65,59.72,58.94,59.05,881700,59.05
2012-10-23,60.26,60.28,59.42,59.50,1621400,59.50
2012-10-22,60.39,60.98,60.29,60.75,554400,60.75
2012-10-19,61.57,61.88,60.14,60.44,984900,60.44
2012-10-18,61.25,61.89,60.81,61.77,929600,61.77
2012-10-17,62.29,62.33,61.21,61.24,910000,61.24
2012-10-16,61.99,62.36,61.59,61.87,956100,61.87
2012-10-15,60.76,61.57,60.62,61.53,760600,61.53
2012-10-12,60.84,61.05,60.43,60.74,883400,60.74
2012-10-11,60.05,61.11,59.84,60.47,1204400,60.47
2012-10-10,59.93,60.07,59.51,59.91,638000,59.91
2012-10-09,60.72,60.73,59.57,59.69,1018700,59.69
2012-10-08,61.15,61.31,60.28,60.66,763000,60.66
2012-10-05,61.50,61.56,61.03,61.25,790100,61.25
2012-10-04,60.50,61.07,60.38,61.06,840900,61.06
2012-10-03,59.94,60.39,59.92,60.18,782300,60.18
2012-10-02,60.35,60.47,59.48,59.82,908900,59.82
2012-10-01,60.19,60.45,59.78,59.95,1565100,59.95
2012-09-28,59.18,59.82,59.01,59.60,1681900,59.60
2012-09-27,58.66,59.63,58.28,59.49,1764800,59.49
2012-09-26,58.72,58.95,57.91,58.28,1510300,58.28
2012-09-25,59.59,59.73,58.40,58.45,1532200,58.45
2012-09-24,59.52,59.88,59.23,59.24,1197600,59.24
2012-09-21,59.96,60.48,59.75,59.90,2193300,59.90
2012-09-20,59.31,59.68,58.97,59.58,1018800,59.58
2012-09-19,58.34,59.76,58.26,59.44,993400,59.44
2012-09-18,58.68,58.81,58.33,58.51,831000,58.51
2012-09-17,58.82,59.00,58.14,58.58,823800,58.58
2012-09-14,58.15,59.00,58.01,58.75,1472000,58.75
2012-09-13,56.53,58.44,56.53,58.15,1918400,58.15
2012-09-12,56.21,56.68,56.14,56.65,929100,56.65
2012-09-11,56.40,56.42,55.94,56.02,1002000,56.02
2012-09-10,56.54,56.56,56.20,56.23,966500,56.23
2012-09-07,56.41,56.50,55.98,56.42,825100,56.42
2012-09-06,55.70,56.39,55.55,56.19,1549900,56.19
2012-09-05,55.21,55.57,54.97,55.25,1976400,55.25
2012-09-04,54.56,55.59,54.56,55.28,1309500,55.28
2012-08-31,54.42,55.11,54.35,54.84,1393300,54.84
2012-08-30,53.45,54.73,53.45,54.18,1981700,54.18
2012-08-29,53.73,53.90,53.50,53.86,825800,53.86
2012-08-28,53.43,53.92,53.37,53.55,815800,53.55
2012-08-27,53.41,53.96,53.34,53.68,1146300,53.68
2012-08-24,52.35,53.61,52.13,53.33,1354700,53.33
2012-08-23,52.75,52.75,52.25,52.53,783400,52.53
2012-08-22,52.72,53.12,52.59,52.83,756700,52.83
2012-08-21,52.62,52.85,52.40,52.76,1618400,52.76
2012-08-20,52.86,52.97,52.17,52.40,1110500,52.40
2012-08-17,53.09,53.17,52.32,52.74,1578600,52.74
2012-08-16,53.04,53.31,52.91,53.03,1218000,53.03
2012-08-15,52.98,53.70,52.98,53.20,970500,53.20
2012-08-14,54.35,54.44,52.98,53.13,1585500,53.13
2012-08-13,54.38,54.50,53.88,54.12,1049100,54.12
2012-08-10,53.82,54.60,53.82,54.58,1083000,54.58
2012-08-09,53.89,54.56,53.60,53.91,1422900,53.91
2012-08-08,53.56,54.02,53.40,53.97,996300,53.97
2012-08-07,53.13,54.32,53.13,53.87,1517700,53.87
2012-08-06,52.36,53.42,51.91,53.09,1267200,53.09
2012-08-03,51.16,52.47,50.80,52.31,1445200,52.31
2012-08-02,48.94,50.28,48.75,50.25,1813100,50.25
2012-08-01,49.75,50.43,48.95,49.30,2652200,49.30
2012-07-31,49.90,51.53,48.88,50.63,3345100,50.63
2012-07-30,51.84,51.99,50.61,50.93,2001200,50.93
2012-07-27,50.90,52.18,50.81,52.02,1375800,52.02
2012-07-26,50.31,50.72,49.78,50.50,1023900,50.50
2012-07-25,49.11,49.87,49.10,49.39,1259800,49.39
2012-07-24,49.22,49.60,48.70,49.10,1254100,49.10
2012-07-23,49.50,49.54,48.81,49.26,976500,49.26
2012-07-20,50.98,50.98,49.98,50.12,1313600,50.12
2012-07-19,50.53,51.62,50.53,51.04,1045600,51.04
2012-07-18,50.61,50.74,50.24,50.50,1293900,50.50
2012-07-17,49.59,50.87,49.44,50.64,1623300,50.64
2012-07-16,50.13,50.36,49.33,49.39,1562000,49.39
2012-07-13,49.35,50.50,49.35,50.39,1452200,50.39
2012-07-12,49.77,50.40,48.59,50.24,2566800,50.24
2012-07-11,50.29,50.51,49.45,50.02,1797900,50.02
2012-07-10,51.89,51.98,49.99,50.25,1996700,50.25
2012-07-09,52.66,52.79,51.09,51.46,1946500,51.46
2012-07-06,53.34,53.87,52.47,52.81,1367000,52.81
2012-07-05,54.52,54.68,53.54,53.76,1448200,53.76
2012-07-03,54.93,55.11,54.35,54.55,638400,54.55
2012-07-02,54.19,54.91,54.02,54.86,1033200,54.86
2012-06-29,53.99,54.30,53.63,54.00,1752200,54.00
2012-06-28,53.22,53.33,52.16,53.10,1276400,53.10
2012-06-27,53.06,53.98,52.94,53.46,1638200,53.46
2012-06-26,52.81,53.60,52.58,52.85,2005800,52.85
2012-06-25,52.45,52.66,51.82,52.44,1216000,52.44
2012-06-22,52.61,53.25,52.59,53.00,3848100,53.00
2012-06-21,52.63,53.12,52.07,52.48,1845900,52.48
2012-06-20,51.69,52.73,51.61,52.52,1195800,52.52
2012-06-19,51.59,52.06,51.36,51.84,1261900,51.84
2012-06-18,50.30,51.29,50.21,51.19,1438200,51.19
2012-06-15,50.43,50.78,50.07,50.62,2408500,50.62
2012-06-14,50.49,50.75,49.65,50.06,1918000,50.06
2012-06-13,51.84,52.00,50.09,50.32,1484000,50.32
2012-06-12,51.51,52.13,51.34,52.13,1180600,52.13
2012-06-11,51.57,52.00,51.32,51.39,1473200,51.39
