Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,19.03,19.15,18.94,18.98,140400,18.98
2012-12-21,18.47,19.01,18.47,19.01,586400,19.01
2012-12-20,18.65,18.84,18.64,18.64,117600,18.64
2012-12-19,18.75,18.75,18.45,18.54,183200,18.54
2012-12-18,18.84,18.91,18.65,18.79,83300,18.79
2012-12-17,18.90,19.02,18.76,18.84,172300,18.84
2012-12-14,18.75,18.93,18.71,18.92,244300,18.92
2012-12-13,18.68,18.75,18.59,18.73,147700,18.73
2012-12-12,18.75,18.77,18.50,18.77,121900,18.77
2012-12-11,18.37,18.72,18.32,18.72,263200,18.72
2012-12-10,18.50,18.63,18.43,18.53,173600,18.53
2012-12-07,18.35,18.75,18.18,18.50,277300,18.50
2012-12-06,18.35,18.36,18.09,18.23,141200,18.23
2012-12-05,18.20,18.32,18.20,18.23,181000,18.23
2012-12-04,18.40,18.40,18.12,18.23,147800,18.23
2012-12-03,18.35,18.42,18.22,18.27,89200,18.27
2012-11-30,18.54,18.54,18.21,18.50,329300,18.50
2012-11-29,18.35,18.69,18.35,18.57,637100,18.57
2012-11-28,18.65,18.73,18.39,18.51,249300,18.51
2012-11-27,18.33,18.78,18.26,18.57,124600,18.57
2012-11-26,18.14,18.56,18.09,18.43,312300,18.43
2012-11-23,17.95,18.12,17.87,18.07,50800,18.07
2012-11-21,17.95,18.06,17.89,17.97,117700,17.97
2012-11-20,17.87,18.16,17.86,18.04,226300,18.04
2012-11-19,17.91,18.12,17.91,17.96,209000,17.96
2012-11-16,18.01,18.06,17.73,18.05,145900,18.05
2012-11-15,18.38,18.52,17.91,18.04,402900,18.04
2012-11-14,18.50,18.64,18.27,18.29,410100,18.29
2012-11-13,17.85,18.24,17.85,18.06,232500,18.06
2012-11-12,18.10,18.16,18.00,18.04,93400,18.04
2012-11-09,17.91,18.49,17.91,18.21,185800,18.21
2012-11-08,17.75,18.11,17.75,18.00,121900,18.00
2012-11-07,18.47,18.47,17.83,18.00,846800,18.00
2012-11-06,18.50,18.95,18.30,18.44,576000,18.44
2012-11-05,18.40,18.40,18.10,18.32,192700,18.32
2012-11-02,18.80,18.80,18.29,18.32,254100,18.32
2012-11-01,19.23,19.23,18.50,18.61,237700,18.61
2012-10-31,18.25,18.92,18.23,18.70,668700,18.70
2012-10-26,18.90,18.95,18.25,18.60,736000,18.60
2012-10-25,18.99,18.99,18.50,18.87,161200,18.87
2012-10-24,18.35,18.66,18.10,18.65,829000,18.65
2012-10-23,18.47,18.54,17.95,18.40,804800,18.40
2012-10-22,18.90,18.95,18.41,18.47,981600,18.47
2012-10-19,19.35,19.53,18.76,18.95,2793600,18.95
2012-10-18,18.70,19.35,18.65,19.35,1395000,19.35
2012-10-17,18.90,19.25,18.63,18.71,490000,18.71
2012-10-16,18.55,19.29,18.49,18.96,1102000,18.96
2012-10-15,18.02,18.87,18.02,18.73,927800,18.73
2012-10-12,17.17,18.43,17.17,18.01,1349400,18.01
2012-10-11,17.50,17.78,17.26,17.39,1925000,17.39
2012-10-10,18.00,18.04,17.00,17.35,3911800,17.35
2012-10-09,18.49,18.49,18.20,18.25,678700,18.25
2012-10-08,18.63,18.66,18.34,18.50,459500,18.50
2012-10-05,19.42,19.42,18.25,18.72,1008100,18.72
2012-10-04,19.30,19.30,18.66,19.23,2296700,19.23
2012-10-03,20.00,20.75,18.55,19.30,3182500,19.30
