Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,82.10,85.94,81.33,85.73,8780100,85.73
2013-01-04,82.03,83.17,81.60,82.09,2988200,82.09
2013-01-03,81.38,82.39,81.10,81.67,2674600,81.67
2013-01-02,80.12,81.10,79.75,81.10,4008000,81.10
2012-12-31,77.79,78.82,77.22,78.47,2438100,78.47
2012-12-28,78.01,78.72,77.70,77.73,1518400,77.73
2012-12-27,78.53,79.52,77.62,78.58,2219200,78.58
2012-12-26,79.17,79.54,78.27,78.71,1626200,78.71
2012-12-24,79.10,79.44,79.03,79.27,1419200,79.27
2012-12-21,79.63,79.76,78.30,79.70,6035300,79.70
2012-12-20,79.88,80.33,79.46,80.02,2287100,80.02
2012-12-19,80.26,80.63,79.46,79.70,2948100,79.70
2012-12-18,80.34,80.95,79.96,80.03,3346300,80.03
2012-12-17,79.39,80.57,78.63,80.44,2764300,80.44
2012-12-14,79.67,80.34,79.00,79.36,2350000,79.36
2012-12-13,80.87,81.28,79.29,79.84,2873600,79.84
2012-12-12,81.89,82.00,81.15,81.19,3197500,81.19
2012-12-11,81.46,82.78,80.71,82.08,6100800,82.08
2012-12-10,78.77,80.99,78.68,80.50,4884800,80.50
2012-12-07,79.03,79.25,78.25,78.68,2008900,78.68
2012-12-06,79.28,79.79,78.83,79.08,1970700,79.08
2012-12-05,79.35,79.61,78.40,79.40,2474900,79.40
2012-12-04,78.90,79.94,78.82,79.44,3735000,79.44
2012-12-03,78.75,79.80,78.39,78.66,3210500,78.66
2012-11-30,79.63,79.81,78.38,78.59,3365700,78.59
2012-11-29,79.00,79.80,78.86,79.39,2350900,79.39
2012-11-28,77.89,78.99,76.98,78.89,2515800,78.89
2012-11-27,78.71,79.45,78.06,78.14,2604200,78.14
2012-11-26,78.21,78.84,77.67,78.79,2428200,78.79
2012-11-23,77.77,78.57,77.71,78.51,896400,78.51
2012-11-21,77.62,78.11,77.57,77.86,2203100,77.86
2012-11-20,75.18,77.16,74.49,77.12,2973500,77.12
2012-11-19,75.24,76.10,74.25,75.18,3509400,75.18
2012-11-16,73.59,75.00,73.27,74.33,4086600,74.33
2012-11-15,74.73,74.79,73.34,73.54,3611500,73.54
2012-11-14,74.57,75.86,74.35,74.75,3873700,74.75
2012-11-13,74.91,76.13,74.39,74.40,3129600,74.40
2012-11-12,78.02,78.46,74.30,75.66,7527500,75.66
2012-11-09,71.30,73.01,71.23,71.50,2664900,71.50
2012-11-08,72.29,72.67,71.25,71.30,1706200,71.30
2012-11-07,73.42,73.42,71.79,72.56,2477700,72.56
2012-11-06,73.78,74.49,73.23,74.06,1790300,74.06
2012-11-05,72.86,73.53,72.55,73.30,2012800,73.30
